participant_id,sample_id,model,dimension,rating
1,1,lstm,naturalness,3
1,1,lstm,overall,3
1,2,lstm,naturalness,4
1,2,lstm,overall,3
1,3,lstm,naturalness,3
1,3,lstm,overall,2
1,4,lstm,naturalness,2
1,4,lstm,overall,3
1,5,rag,naturalness,3
1,5,rag,overall,4
1,6,rag,naturalness,4
1,6,rag,overall,4
1,7,rag,naturalness,5
1,7,rag,overall,4
1,8,rag,naturalness,4
1,8,rag,overall,5
2,1,lstm,naturalness,2
2,1,lstm,overall,3
2,2,lstm,naturalness,3
2,2,lstm,overall,4
2,3,lstm,naturalness,3
2,3,lstm,overall,3
2,4,lstm,naturalness,4
2,4,lstm,overall,3
2,5,rag,naturalness,4
2,5,rag,overall,3
2,6,rag,naturalness,4
2,6,rag,overall,4
2,7,rag,naturalness,3
2,7,rag,overall,4
2,8,rag,naturalness,4
2,8,rag,overall,4
3,1,lstm,naturalness,3
3,1,lstm,overall,2
3,2,lstm,naturalness,2
3,2,lstm,overall,3
3,3,lstm,naturalness,4
3,3,lstm,overall,4
3,4,lstm,naturalness,3
3,4,lstm,overall,3
3,5,rag,naturalness,5
3,5,rag,overall,4
3,6,rag,naturalness,4
3,6,rag,overall,5
3,7,rag,naturalness,4
3,7,rag,overall,4
3,8,rag,naturalness,3
3,8,rag,overall,4
4,1,lstm,naturalness,4
4,1,lstm,overall,3
4,2,lstm,naturalness,3
4,2,lstm,overall,3
4,3,lstm,naturalness,2
4,3,lstm,overall,2
4,4,lstm,naturalness,3
4,4,lstm,overall,4
4,5,rag,naturalness,4
4,5,rag,overall,4
4,6,rag,naturalness,4
4,6,rag,overall,4
4,7,rag,naturalness,5
4,7,rag,overall,5
4,8,rag,naturalness,3
4,8,rag,overall,4
5,1,lstm,naturalness,3
5,1,lstm,overall,4
5,2,lstm,naturalness,3
5,2,lstm,overall,3
5,3,lstm,naturalness,2
5,3,lstm,overall,3
5,4,lstm,naturalness,4
5,4,lstm,overall,3
5,5,rag,naturalness,4
5,5,rag,overall,4
5,6,rag,naturalness,3
5,6,rag,overall,4
5,7,rag,naturalness,4
5,7,rag,overall,5
5,8,rag,naturalness,4
5,8,rag,overall,4
6,1,lstm,naturalness,3
6,1,lstm,overall,3
6,2,lstm,naturalness,4
6,2,lstm,overall,4
6,3,lstm,naturalness,2
6,3,lstm,overall,2
6,4,lstm,naturalness,3
6,4,lstm,overall,3
6,5,rag,naturalness,4
6,5,rag,overall,4
6,6,rag,naturalness,5
6,6,rag,overall,5
6,7,rag,naturalness,4
6,7,rag,overall,4
6,8,rag,naturalness,3
6,8,rag,overall,4
7,1,lstm,naturalness,2
7,1,lstm,overall,2
7,2,lstm,naturalness,3
7,2,lstm,overall,3
7,3,lstm,naturalness,4
7,3,lstm,overall,4
7,4,lstm,naturalness,3
7,4,lstm,overall,3
7,5,rag,naturalness,4
7,5,rag,overall,5
7,6,rag,naturalness,4
7,6,rag,overall,4
7,7,rag,naturalness,3
7,7,rag,overall,4
7,8,rag,naturalness,4
7,8,rag,overall,4
8,1,lstm,naturalness,3
8,1,lstm,overall,4
8,2,lstm,naturalness,3
8,2,lstm,overall,3
8,3,lstm,naturalness,2
8,3,lstm,overall,3
8,4,lstm,naturalness,4
8,4,lstm,overall,3
8,5,rag,naturalness,4
8,5,rag,overall,4
8,6,rag,naturalness,5
8,6,rag,overall,5
8,7,rag,naturalness,4
8,7,rag,overall,4
8,8,rag,naturalness,3
8,8,rag,overall,4
9,1,lstm,naturalness,4
9,1,lstm,overall,3
9,2,lstm,naturalness,3
9,2,lstm,overall,4
9,3,lstm,naturalness,3
9,3,lstm,overall,3
9,4,lstm,naturalness,2
9,4,lstm,overall,2
9,5,rag,naturalness,4
9,5,rag,overall,4
9,6,rag,naturalness,4
9,6,rag,overall,4
9,7,rag,naturalness,5
9,7,rag,overall,4
9,8,rag,naturalness,4
9,8,rag,overall,5
10,1,lstm,naturalness,3
10,1,lstm,overall,3
10,2,lstm,naturalness,2
10,2,lstm,overall,3
10,3,lstm,naturalness,4
10,3,lstm,overall,4
10,4,lstm,naturalness,3
10,4,lstm,overall,3
10,5,rag,naturalness,4
10,5,rag,overall,4
10,6,rag,naturalness,3
10,6,rag,overall,4
10,7,rag,naturalness,4
10,7,rag,overall,5
10,8,rag,naturalness,4
10,8,rag,overall,4
11,1,lstm,naturalness,4
11,1,lstm,overall,4
11,2,lstm,naturalness,3
11,2,lstm,overall,3
11,3,lstm,naturalness,2
11,3,lstm,overall,3
11,4,lstm,naturalness,3
11,4,lstm,overall,2
11,5,rag,naturalness,5
11,5,rag,overall,4
11,6,rag,naturalness,4
11,6,rag,overall,5
11,7,rag,naturalness,4
11,7,rag,overall,4
11,8,rag,naturalness,3
11,8,rag,overall,4
12,1,lstm,naturalness,3
12,1,lstm,overall,3
12,2,lstm,naturalness,4
12,2,lstm,overall,4
12,3,lstm,naturalness,3
12,3,lstm,overall,2
12,4,lstm,naturalness,2
12,4,lstm,overall,3
12,5,rag,naturalness,4
12,5,rag,overall,4
12,6,rag,naturalness,4
12,6,rag,overall,4
12,7,rag,naturalness,5
12,7,rag,overall,5
12,8,rag,naturalness,3
12,8,rag,overall,4
13,1,lstm,naturalness,2
13,1,lstm,overall,3
13,2,lstm,naturalness,3
13,2,lstm,overall,3
13,3,lstm,naturalness,4
13,3,lstm,overall,4
13,4,lstm,naturalness,3
13,4,lstm,overall,3
13,5,rag,naturalness,4
13,5,rag,overall,5
13,6,rag,naturalness,4
13,6,rag,overall,4
13,7,rag,naturalness,3
13,7,rag,overall,4
13,8,rag,naturalness,5
13,8,rag,overall,4
14,1,lstm,naturalness,3
14,1,lstm,overall,2
14,2,lstm,naturalness,2
14,2,lstm,overall,3
14,3,lstm,naturalness,4
14,3,lstm,overall,3
14,4,lstm,naturalness,4
14,4,lstm,overall,4
14,5,rag,naturalness,4
14,5,rag,overall,4
14,6,rag,naturalness,5
14,6,rag,overall,4
14,7,rag,naturalness,4
14,7,rag,overall,5
14,8,rag,naturalness,3
14,8,rag,overall,4
15,1,lstm,naturalness,4
15,1,lstm,overall,4
15,2,lstm,naturalness,3
15,2,lstm,overall,3
15,3,lstm,naturalness,2
15,3,lstm,overall,3
15,4,lstm,naturalness,3
15,4,lstm,overall,2
15,5,rag,naturalness,4
15,5,rag,overall,4
15,6,rag,naturalness,4
15,6,rag,overall,5
15,7,rag,naturalness,3
15,7,rag,overall,4
15,8,rag,naturalness,5
15,8,rag,overall,5
16,1,lstm,naturalness,3
16,1,lstm,overall,3
16,2,lstm,naturalness,4
16,2,lstm,overall,4
16,3,lstm,naturalness,2
16,3,lstm,overall,2
16,4,lstm,naturalness,3
16,4,lstm,overall,4
16,5,rag,naturalness,4
16,5,rag,overall,4
16,6,rag,naturalness,4
16,6,rag,overall,4
16,7,rag,naturalness,5
16,7,rag,overall,4
16,8,rag,naturalness,3
16,8,rag,overall,4
17,1,lstm,naturalness,2
17,1,lstm,overall,3
17,2,lstm,naturalness,3
17,2,lstm,overall,3
17,3,lstm,naturalness,4
17,3,lstm,overall,3
17,4,lstm,naturalness,3
17,4,lstm,overall,4
17,5,rag,naturalness,4
17,5,rag,overall,5
17,6,rag,naturalness,3
17,6,rag,overall,4
17,7,rag,naturalness,4
17,7,rag,overall,4
17,8,rag,naturalness,5
17,8,rag,overall,5
18,1,lstm,naturalness,4
18,1,lstm,overall,3
18,2,lstm,naturalness,3
18,2,lstm,overall,4
18,3,lstm,naturalness,2
18,3,lstm,overall,2
18,4,lstm,naturalness,3
18,4,lstm,overall,3
18,5,rag,naturalness,4
18,5,rag,overall,4
18,6,rag,naturalness,5
18,6,rag,overall,5
18,7,rag,naturalness,3
18,7,rag,overall,4
18,8,rag,naturalness,4
18,8,rag,overall,4
19,1,lstm,naturalness,3
19,1,lstm,overall,4
19,2,lstm,naturalness,2
19,2,lstm,overall,3
19,3,lstm,naturalness,3
19,3,lstm,overall,3
19,4,lstm,naturalness,4
19,4,lstm,overall,2
19,5,rag,naturalness,4
19,5,rag,overall,4
19,6,rag,naturalness,4
19,6,rag,overall,5
19,7,rag,naturalness,4
19,7,rag,overall,4
19,8,rag,naturalness,5
19,8,rag,overall,4
20,1,lstm,naturalness,4
20,1,lstm,overall,3
20,2,lstm,naturalness,3
20,2,lstm,overall,3
20,3,lstm,naturalness,2
20,3,lstm,overall,2
20,4,lstm,naturalness,3
20,4,lstm,overall,4
20,5,rag,naturalness,3
20,5,rag,overall,4
20,6,rag,naturalness,4
20,6,rag,overall,4
20,7,rag,naturalness,5
20,7,rag,overall,5
20,8,rag,naturalness,4
20,8,rag,overall,4
21,1,lstm,naturalness,3
21,1,lstm,overall,3
21,2,lstm,naturalness,4
21,2,lstm,overall,4
21,3,lstm,naturalness,2
21,3,lstm,overall,3
21,4,lstm,naturalness,3
21,4,lstm,overall,3
21,5,rag,naturalness,4
21,5,rag,overall,5
21,6,rag,naturalness,3
21,6,rag,overall,4
21,7,rag,naturalness,4
21,7,rag,overall,4
21,8,rag,naturalness,5
21,8,rag,overall,5
22,1,lstm,naturalness,2
22,1,lstm,overall,3
22,2,lstm,naturalness,3
22,2,lstm,overall,3
22,3,lstm,naturalness,4
22,3,lstm,overall,4
22,4,lstm,naturalness,3
22,4,lstm,overall,2
22,5,rag,naturalness,4
22,5,rag,overall,4
22,6,rag,naturalness,5
22,6,rag,overall,4
22,7,rag,naturalness,4
22,7,rag,overall,4
22,8,rag,naturalness,3
22,8,rag,overall,4
23,1,lstm,naturalness,3
23,1,lstm,overall,4
23,2,lstm,naturalness,2
23,2,lstm,overall,2
23,3,lstm,naturalness,3
23,3,lstm,overall,3
23,4,lstm,naturalness,4
23,4,lstm,overall,4
23,5,rag,naturalness,4
23,5,rag,overall,5
23,6,rag,naturalness,4
23,6,rag,overall,4
23,7,rag,naturalness,5
23,7,rag,overall,5
23,8,rag,naturalness,4
23,8,rag,overall,4
24,1,lstm,naturalness,4
24,1,lstm,overall,3
24,2,lstm,naturalness,3
24,2,lstm,overall,4
24,3,lstm,naturalness,2
24,3,lstm,overall,3
24,4,lstm,naturalness,3
24,4,lstm,overall,2
24,5,rag,naturalness,3
24,5,rag,overall,4
24,6,rag,naturalness,4
24,6,rag,overall,4
24,7,rag,naturalness,4
24,7,rag,overall,5
24,8,rag,naturalness,5
24,8,rag,overall,4
25,1,lstm,naturalness,3
25,1,lstm,overall,3
25,2,lstm,naturalness,2
25,2,lstm,overall,2
25,3,lstm,naturalness,4
25,3,lstm,overall,4
25,4,lstm,naturalness,3
25,4,lstm,overall,3
25,5,rag,naturalness,4
25,5,rag,overall,4
25,6,rag,naturalness,5
25,6,rag,overall,5
25,7,rag,naturalness,3
25,7,rag,overall,4
25,8,rag,naturalness,4
25,8,rag,overall,4